PROBLEM;PRAWDOPODOBNA PRZYCZYNA;NOWY WZORZEC MYŚLENIA
Twarz — obwisłe rysy twarzy;"Są skutkiem „wisielczych"" myśli. Niechęć do życia.";Wyrażam radość życia i cieszę się każdą chwilą. Jestem znów młody.
Udar mózgu;"Rezygnacja. Opór. „Raczej umrę, niż zmienię"". Odrzucenie życia.";Życie jest ciągłą zmianą i łatwo przystosowuję się do nowości. Akceptuję życie — przeszłość, teraźniejszość i przyszłość.
Ukąszenia;Lęk. Nadwrażliwość na każde uchybienie ze strony innych.;Wybaczam sobie. Kocham siebie teraz i zawsze.
Ukąszenia — przez owady;Poczucie winy z powodu drobiazgów.;Uwalniam się od rozdrażnienia. Wszystko jest w porządku.
Ukąszenia — przez zwierzęta;Gniew skierowany do wewnątrz. Pragnienie kary.;Jestem wolny.
Układ krążenia;Symbolizuje zdolność do pozytywnego doświadczania i wyrażania emocji.;Jestem wolny. Napełniam cały świat miłością i radością. Kocham życie.
Upławy por. kobiece dolegliwości, pochwa — zapalenie;Przeświadczenie, że kobiety są bezsilne wobec przeciwnej płci. Gniew na swojego partnera.;To ja tworzę swoje przeżycia. Ja jestem siłą. Cieszę się z mojej kobiecości. Jestem wolna.
Usta;Reprezentują przyjmowanie nowych idei i pokarmu.;Karmię się miłością.
Usta — dolegliwości;Ustalone opinie. Ograniczony umysł. Niezdolność przyjmowania nowych idei.;Z chęcią przyjmuję nowe idee i koncepcje. Przygotowuję je do przemyślenia i przyswojenia.
Usta — owrzodzenia zgorzelinowe;Jątrzące, ale niewypowiedziane słowa. Wyrzuty.;W moim kochającym świecie tworzę tylko radosne przeżycia.
Uszy;Symbolizują zdolność słuchania.;Słucham z miłością.
Uszy — szum (dzwonienie);Odmowa słuchania. Upór. Niesłyszenie wewnętrznego głosu.;Ufam mojemu wyższemu Ja. Słucham z miłością mojego wewnętrznego głosu. Uwalniam się od wszystkiego, co niepotrzebne miłości.
Uszy — ból;Gniew. Odmowa słuchania. Zbyt wiele zamieszania. Kłótnie rodziców.;Otacza mnie harmonia. Słucham z miłością tego, co jest dobre i przyjemne. Jestem centrum miłości.
Uszy — zapalenie wyrostka sutkowego;Gniew i zawód. Pragnienie, by nie słyszeć, co się dzieje (zwykle u dzieci). Lęk paraliżujący zrozumienie.;Boski spokój i zgoda otaczają mnie i mieszkają we mnie. Jestem oazą pokoju i miłosnej radości. Wszystko jest dobrze w moim świecie.
Wągry;Drobne wybuchy gniewu.;Uciszam moje myśli i jestem opanowany.
Wątroba;Siedlisko gniewu i prymitywnych emocji.;To, co znam, jest miłością, radością i pokojem.
Wątroba— dolegliwości por. żółtaczka;Bezustanne uskarżanie się. Oszukiwanie siebie przez ciągłe obwinianie. Przekonanie, że jest się złym.;Chcę życie przyjmować otwartym sercem. Szukam miłości i znajduję ją wszędzie.
Wątroba — zapalenie;Opór na zmianę. Strach, gniew, nienawiść. Wątroba jako siedlisko gniewu, wściekłości.;Mój umysł jest oczyszczony i wolny. Zostawiam przeszłość i wkraczam w nowe. Wszystko jest w porządku.
Weneryczne choroby por. AIDS, opryszczka płciowa, rzeżączka, kiła;Poczucie seksualnej winy. Przeświadczenie, że narządy płciowe są grzeszne i nieczyste. Pragnienie kary.;Z miłością i radością uznaję moją seksualność i wyrażanie jej. Dopuszczam do siebie tylko takie myśli, które wspierają mnie i sprawiają, że czuję się dobrze.
Wirusowa infekcja por. infekcje;Brak radości w życiu. Zgorzknienie.;Z miłością dopuszczam obfitość radości do mojego życia. Kocham siebie.
Włosy — nadmiar owłosienia;Ukryty gniew. Zwykle pod maską lęku. Potrzeba potępiania. Często niechęć do karmienia siebie.;Jestem dla siebie kochającym rodzicem. Jestem osłaniany miłością i aprobatą. Bezpiecznie jest pokazać kim jestem.
Włosy — siwienie;Stres. Wiara w presję i wysiłek.;Jestem spokojny i dobrze mi w każdej sferze życia. Jestem silny i pełen możliwości.
Włosy — wypadanie;Strach, napięcie. Próba kontrolowania wszystkiego. Nieufność wobec biegu życia.;Jestem bezpieczny. Kocham i aprobuję siebie. Ufam życiu.
Włókniaki;"Silne przekonanie, że wszystko w życiu dzieje się na moją niekorzyść. „Jaki jestem biedny"".";Życie kocha mnie i ja kocham życie. Chcę przeżywać życie swobodnie i w całej pełni.
Wole;Nienawiść z powodu przymusu. Poczucie bycia ofiarą. Wszystko w życiu dzieje się na przekór. Niespełnienie.;Jestem siłą i autorytetem w swoim życiu. Wolno mi być sobą.
Wrzody;Roztrząsanie doznanych przykrości i lekceważenia. Pragnienie odwetu.;Pozwalam swoim myślom być wolnymi. Przeszłość jest zakończona. Jestem spokojny.
Wrzody trawienne por. wrzód żołądka, żołądek — dolegliwości, zgaga;Strach. Uczucie, że nie jest się dość dobrym. Co cię zżera?;Kocham i akceptuję siebie. Jestem w zgodzie z sobą. Jestem spokojny. Wszystko jest w porządku.
Wrzód żołądka por. wrzody trawienne, żołądek — dolegliwości, zgaga;Strach. Przekonanie, że nie jest się dość dobrym. Chęć przypodobania się.;Kocham i aprobuję siebie. Jestem pogodny ze sobą. Jestem cudowny.
Wścieklizna;Gniew. Przekonanie, że przemoc jest jedynym rozwiązaniem.;Spokój otacza mnie i mieszka we mnie.
Wymioty;Gwałtowne odrzucanie nowych rozwiązań. Lęk przed tym, co nowe.;Z radością i w poczuciu bezpieczeństwa chłonę życie. Tylko dobro przychodzi do mnie i przechodzi przeze mnie.
Wypadki — podatność;Niezdolność do przemawiania w swoim imieniu. Bunt przeciwko autorytetom. Wiara w przemoc.;Uwalniam się od wzorca, który stworzył taką sytuację. Jestem spokojny. Jestem wart starań.
Wypryski ropne por. wągry;Wstyd. Wiara w brzydotę.;Akceptuję siebie. Jestem piękny i kochany.
Wyrostek robaczkowy — zapalenie;Lęk. Lęk przed życiem. Blokowanie przepływu dobra.;Jestem bezpieczny. Rozluźniam się i pozwalam radośnie płynąć życiu.
Wysypka por. pokrzywka, skóra;Złość z powodu zwlekania. Dziecinne sposoby przyciągania uwagi.;Kocham i akceptuję siebie. Jestem w zgodzie z życiem.
Wzdęcia, gazy;Zamykanie się. Lęk. Chaotyczne myśli.;Odprężam się i pozwalam życiu swobodnie płynąć przeze mnie.
Zadrapania;Poczucie, że jest się rozdzieranym przez życie, że życie jest nieetyczne. Uczucie rozdarcia.;Jestem wdzięczny za wspaniałomyślność życia. Życie mi błogosławi.
Zakrzepica wieńcowa, por. serce — zawał;"Uczucie osamotnienia i przerażenia. „Nie jestem dość dobry. Nie robię tyle, na ile mnie stać. Nigdy tego nie zrobię"".";Stanowię jedność z całością życia. Wszechświat wspiera mnie całkowicie. Wszystko jest w porządku.
Zanik pamięci, demencja por. Alzheimera ch., starość;Odmowa traktowania świata takim, jakim jest. Brak nadziei, gniew.;Jestem we właściwym miejscu. Jestem zawsze bezpieczny.
Zapalenie (stan zapalny) por. zapalenie typu — itis;Lęk. Gotowanie się ze złości. Jątrzące myśli.;Moje myślenie jest spokojne, opanowane i skupione.
Zapalenie typu itis por. zapalenie;Gniew i rozczarowanie tym, co widzisz w swoim życiu.;Odrzucam wszystkie wzorce, które powodowały moją krytyczną postawę. Kocham i akceptuję siebie.
Zaparcie;Niechęć do wyzbycia się starych przekonań. Tkwienie w przeszłości. Czasem skąpstwo.;Kiedy odrzucam przeszłość, przychodzi nowe, świeże i pełne życia. Pozwalam życiu przepływać przeze mnie.
Zatoki;Irytacja na jakąś osobę, kogoś bliskiego.;Ogłaszam, że pokój i harmonia zamieszkują we mnie i otaczają mnie przez cały czas. Wszystko jest w porządku.
Zatrucie pokarmowe;Pozostawienie kontroli innym. Bezbronność.;Jestem wystarczająco silny i sprawny, by przyswoić wszystko, co napotkam.
Zatrzymywanie płynów por. opuchlina, puchlina wodna;Co obawiasz się utracić? Z radością uwalniam się od tego, co zbędne.;Z radością uwalniam się od tego, co zbędne.
Zęby;Odpowiadają procesowi podejmowania decyzji.;Moje decyzje opierają się na zasadach prawdy. Czuję się bezpieczny, wiedząc, iż tylko właściwe działanie ma miejsce w moim życiu.
Zęby — dolegliwości por. kanał korzenia zębowego;Długotrwałe niezdecydowanie. Niezdolność przełamania się, by zanalizować myśli i podjąć decyzję.;Buduję mocną podstawę dla siebie i mojego życia. Sam wybieram swoje przekonania, by radośnie wspierać siebie.
Zęby — kanał korzenia zębowego;Niemożność wgryzienia się w cokolwiek. Ruina podstawowych przekonań.;Buduję mocną podstawę dla siebie i mojego życia. Sam wybieram swoje przekonania, by radośnie wspierać siebie.
Zęby — wklinowany ząb mądrości;Niedawanie sobie psychicznej przestrzeni na to, by stworzyć solidny fundament.;Otwieram swoją świadomość na ekspansję życia. Jest dość miejsca, bym rósł i zmieniał się.
Zgaga por. wrzody trawienne, wrzód żołądka, żołądek — dolegliwości;Lęk. Lęk. Lęk. Paraliżujący lęk.;Oddycham swobodnie i głęboko. Jestem bezpieczny. Ufam życiu.
Złamanie p. kości;Zmęczenie. Opór, nuda. Brak miłości do tego, co się robi.;Życie napawa mnie entuzjazmem i wypełnia energią i zapałem.
Żarłoczność;Beznadziejna rozpacz. Obłędne napychanie i oczyszczanie się z nienawiści do siebie.;Samo życie mnie kocha, karmi i wspiera. Bezpiecznie jest żyć.
Żołądek;Przyjmuje pokarm. Przyswaja idee.;Przyswajam życie z łatwością.
Żołądek — dolegliwości por. wrzody, wrzód żołądka, zgaga;Przerażenie. Lęk przed nowością. Niezdolność do jej przyswojenia.;Życie jest ze mną w zgodzie. Przyjmuję nowe w każdej chwili dnia. Wszystko w porządku.
Żołądek — nieżyt por. żołądek — dolegliwości;Przedłużająca się niepewność. Oczekiwanie czegoś najgorszego.;Kocham i akceptuję siebie. Jestem bezpieczny.
Żółtaczka por. wątroba — dolegliwości;Uprzedzenia do tego, co wewnątrz i na zewnątrz. Niezrównoważenie.;Jestem tolerancyjny, pełen współczucia i miłości wobec wszystkich ludzi, łącznie ze mną.
Żuchwa — problemy;Gniew, uraza, żal, pragnienie zemsty. Chcę zmienić wzorce, które stworzyły ten stan.;Kocham i aprobuję siebie. Jestem bezpieczny.
Żylaki;Pozostawanie w sytuacji, której nienawidzisz. Zniechęcenie. Czucie się przeciążonym i przepracowanym.;Trwam w prawdzie i żyję i poruszam się w radości. Kocham Życie i poruszam się swobodnie.
Żył zapalenie;Gniew i frustracja. Obwinianie innych za ograniczenia i brak radości w życiu.;Teraz radość swobodnie przepływa przeze mnie. Jestem w zgodzie z życiem.
